,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
32,642934.0,0.0,513206.0,325206.0,22637.0,16726,241.0,207.0,191.0,13.0,34150.0,31101.0,139.0,1586.0,407.0,31.0,0.0,0.0,385.0,270.0,18.0,4.0,8.0,2.0,1589462
33,632027.0,0.0,483021.0,305401.0,21556.0,15133,307.0,206.0,169.0,14.0,30367.0,27722.0,123.0,1621.0,401.0,34.0,0.0,0.0,420.0,280.0,19.0,7.0,23.0,1.0,1518852
34,652186.0,0.0,500558.0,320023.0,21993.0,15791,282.0,163.0,183.0,4.0,29694.0,27477.0,100.0,1369.0,312.0,42.0,0.0,0.0,378.0,308.0,12.0,4.0,12.0,2.0,1570893
35,710039.0,0.0,525804.0,361842.0,24085.0,16521,298.0,160.0,179.0,9.0,27996.0,28152.0,117.0,1309.0,409.0,16.0,0.0,0.0,423.0,330.0,31.0,5.0,12.0,0.0,1697737
36,813422.0,0.0,631154.0,446107.0,27997.0,19582,413.0,181.0,190.0,5.0,28485.0,31296.0,122.0,1203.0,404.0,22.0,0.0,0.0,268.0,293.0,81.0,4.0,16.0,0.0,2001245
37,567483.0,0.0,677197.0,448579.0,29014.0,25757,413.0,218.0,211.0,10.0,45911.0,51948.0,155.0,762.0,252.0,22.0,0.0,0.0,197.0,157.0,13.0,3.0,5.0,1.0,1848308
38,710792.0,0.0,543627.0,394539.0,28123.0,18209,396.0,169.0,204.0,37.0,32755.0,33707.0,156.0,101.0,50.0,8.0,0.0,0.0,195.0,132.0,12.0,4.0,16.0,1.0,1763233
39,676862.0,0.0,740231.0,761619.0,32703.0,24031,725.0,184.0,272.0,17.0,30322.0,33961.0,122.0,0.0,0.0,0.0,0.0,0.0,183.0,132.0,5.0,6.0,7.0,4.0,2301386
40,467475.0,0.0,548303.0,662356.0,24513.0,20957,401.0,197.0,278.0,17.0,29771.0,42478.0,107.0,0.0,0.0,0.0,0.0,0.0,145.0,152.0,3.0,2.0,6.0,2.0,1797163
41,421101.0,0.0,512279.0,535601.0,21857.0,20141,478.0,226.0,266.0,17.0,35567.0,47913.0,122.0,0.0,0.0,0.0,0.0,0.0,161.0,149.0,8.0,6.0,3.0,3.0,1595898
42,423213.0,0.0,452702.0,461827.0,18898.0,18390,338.0,199.0,234.0,8.0,31812.0,39412.0,111.0,0.0,0.0,0.0,0.0,0.0,167.0,132.0,4.0,17.0,15.0,6.0,1447485
