month,other,prepawn_other,redemption_other,returned_other,private_sale_other,return_to_seller_other
2010-08,380.0,0.0,0.0,,,
2010-08,161.0,0.0,1.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,4.0,0.0,0.0,,,
2010-08,19.0,0.0,0.0,,,
2010-08,55.0,0.0,1.0,,,
2010-08,13.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,598.0,0.0,10.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,8.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,0.0,0.0,0.0,,,
2010-08,276.0,0.0,1.0,,,
2010-08,41.0,0.0,1.0,,,
2010-08,94.0,0.0,0.0,,,
2010-08,16.0,0.0,0.0,,,
2010-07,135.0,0.0,3.0,,,
2010-07,44.0,0.0,0.0,,,
2010-07,177.0,0.0,2.0,,,
2010-07,60.0,1.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,32.0,0.0,0.0,,,
2010-07,14.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,99.0,1.0,2.0,,,
2010-07,2.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,44.0,0.0,1.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,150.0,0.0,0.0,,,
2010-07,5.0,0.0,0.0,,,
2010-07,83.0,0.0,0.0,,,
2010-07,93.0,1.0,0.0,,,
2010-07,142.0,0.0,1.0,,,
2010-07,33.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,16.0,0.0,0.0,,,
2010-07,69.0,0.0,0.0,,,
2010-07,82.0,0.0,0.0,,,
2010-07,100.0,0.0,0.0,,,
2010-07,57.0,1.0,5.0,,,
2010-07,208.0,0.0,1.0,,,
2010-07,36.0,0.0,0.0,,,
2010-07,5.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,8.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,64.0,1.0,0.0,,,
2010-07,162.0,0.0,0.0,,,
2010-07,152.0,0.0,6.0,,,
2010-07,12.0,0.0,0.0,,,
2010-07,291.0,0.0,0.0,,,
2010-07,159.0,0.0,1.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,1.0,0.0,0.0,,,
2010-07,18.0,0.0,0.0,,,
2010-07,51.0,0.0,2.0,,,
2010-07,17.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,559.0,0.0,12.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,22.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,0.0,0.0,0.0,,,
2010-07,280.0,1.0,0.0,,,
2010-07,55.0,0.0,0.0,,,
2010-07,67.0,0.0,0.0,,,
2010-07,13.0,0.0,0.0,,,
2010-06,153.0,0.0,6.0,,,
2010-06,64.0,0.0,0.0,,,
2010-06,167.0,0.0,0.0,,,
2010-06,33.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,29.0,0.0,0.0,,,
2010-06,19.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,0.0,2.0,0.0,,,
2010-06,87.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
2010-06,28.0,0.0,0.0,,,
2010-06,1.0,0.0,0.0,,,
2010-06,228.0,0.0,1.0,,,
2010-06,9.0,0.0,0.0,,,
2010-06,91.0,0.0,0.0,,,
2010-06,90.0,1.0,1.0,,,
2010-06,131.0,0.0,1.0,,,
2010-06,28.0,0.0,0.0,,,
2010-06,0.0,0.0,0.0,,,
