month,long_gun,prepawn_long_gun,redemption_long_gun,returned_long_gun,rentals_long_gun,private_sale_long_gun,return_to_seller_long_gun
2014-07,1489.0,0.0,0.0,,,0.0,0.0
2014-07,1333.0,1.0,9.0,,,0.0,0.0
2014-07,4.0,0.0,0.0,,,0.0,0.0
2014-07,17356.0,2.0,1129.0,,,0.0,0.0
2014-07,5971.0,5.0,1660.0,,,0.0,0.0
2014-07,38.0,0.0,0.0,,,0.0,0.0
2014-07,0.0,0.0,0.0,,,0.0,0.0
2014-07,2823.0,2.0,564.0,,,0.0,0.0
2014-07,9607.0,0.0,0.0,,,0.0,0.0
2014-07,9126.0,5.0,520.0,,,0.0,0.0
2014-07,1606.0,0.0,94.0,,,0.0,0.0
2014-07,3623.0,2.0,390.0,,,0.0,0.0
2014-07,5428.0,8.0,1912.0,,,0.0,0.0
2014-07,7199.0,2.0,1025.0,,,0.0,0.0
2014-07,2381.0,41.0,192.0,,,0.0,0.0
2014-07,2.0,0.0,0.0,,,0.0,0.0
2014-07,3534.0,0.0,127.0,,,15.0,0.0
2014-07,2154.0,1.0,0.0,,,0.0,0.0
2014-07,6479.0,1.0,319.0,,,0.0,0.0
2014-07,7192.0,2.0,454.0,,,0.0,0.0
2014-07,3874.0,22.0,1211.0,,,0.0,0.0
2014-07,9729.0,11.0,1370.0,,,0.0,0.0
2014-07,3279.0,5.0,843.0,,,0.0,0.0
2014-07,1241.0,1.0,96.0,,,0.0,0.0
2014-07,2279.0,0.0,174.0,,,0.0,0.0
2014-07,2456.0,0.0,23.0,,,0.0,0.0
2014-07,2681.0,0.0,0.0,,,0.0,0.0
2014-07,3193.0,0.0,508.0,,,0.0,0.0
2014-07,9573.0,0.0,19.0,,,70.0,7.0
2014-07,8442.0,11.0,2281.0,,,0.0,0.0
2014-07,2145.0,1.0,138.0,,,0.0,0.0
2014-07,14202.0,0.0,861.0,,,0.0,0.0
2014-07,7517.0,3.0,1772.0,,,0.0,0.0
2014-07,6998.0,0.0,0.0,,,0.0,0.0
2014-07,6543.0,0.0,0.0,,,0.0,0.0
2014-07,214.0,0.0,1.0,,,0.0,0.0
2014-07,564.0,0.0,4.0,,,0.0,0.0
2014-07,4095.0,1.0,836.0,,,0.0,0.0
2014-07,2559.0,1.0,235.0,,,0.0,0.0
2014-07,10414.0,0.0,0.0,,,0.0,0.0
2014-07,28145.0,10.0,4768.0,,,0.0,0.0
2014-07,2532.0,0.0,294.0,,,0.0,0.0
2014-07,888.0,0.0,0.0,,,0.0,0.0
2014-07,7.0,0.0,0.0,,,0.0,0.0
2014-07,11605.0,0.0,0.0,,,0.0,0.0
2014-07,7606.0,2.0,1200.0,,,0.0,0.0
2014-07,4587.0,1.0,1526.0,,,0.0,0.0
2014-07,7746.0,0.0,296.0,,,0.0,0.0
2014-07,1691.0,2.0,232.0,,,0.0,0.0
2014-06,10279.0,12.0,1568.0,,,0.0,0.0
2014-06,2467.0,3.0,176.0,,,0.0,0.0
2014-06,5496.0,4.0,595.0,,,0.0,0.0
2014-06,3788.0,3.0,1512.0,,,0.0,0.0
2014-06,24557.0,0.0,401.0,,,0.0,0.0
2014-06,9343.0,0.0,2.0,,,0.0,0.0
2014-06,1647.0,0.0,0.0,,,0.0,0.0
2014-06,1146.0,1.0,6.0,,,0.0,0.0
2014-06,1.0,0.0,0.0,,,0.0,0.0
2014-06,17047.0,7.0,1012.0,,,0.0,0.0
2014-06,6006.0,7.0,1561.0,,,0.0,0.0
2014-06,42.0,0.0,0.0,,,0.0,0.0
2014-06,0.0,0.0,0.0,,,0.0,0.0
2014-06,3190.0,1.0,554.0,,,0.0,0.0
2014-06,8740.0,0.0,0.0,,,0.0,0.0
2014-06,8702.0,2.0,438.0,,,0.0,0.0
2014-06,1614.0,0.0,83.0,,,0.0,0.0
2014-06,3604.0,1.0,349.0,,,0.0,0.0
2014-06,5196.0,4.0,1651.0,,,0.0,0.0
2014-06,6868.0,1.0,903.0,,,0.0,0.0
2014-06,2185.0,59.0,177.0,,,0.0,0.0
2014-06,1.0,0.0,0.0,,,0.0,0.0
2014-06,3641.0,1.0,117.0,,,13.0,0.0
2014-06,2021.0,0.0,6.0,,,0.0,0.0
2014-06,6044.0,1.0,326.0,,,0.0,0.0
2014-06,6796.0,3.0,422.0,,,0.0,0.0
2014-06,3664.0,23.0,1184.0,,,0.0,0.0
2014-06,9673.0,7.0,1166.0,,,0.0,0.0
2014-06,3630.0,4.0,766.0,,,0.0,0.0
2014-06,1144.0,0.0,84.0,,,0.0,0.0
2014-06,2418.0,0.0,127.0,,,0.0,0.0
2014-06,2561.0,0.0,13.0,,,0.0,0.0
